Designator,Quantity,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"C1, C2","2","445-1273-1-ND","0.10","0.2"
"C3, C6","2","445-9015-6-ND","0.88","1.76"
"C4","1","1276-1858-1-ND","0.10","0.1"
"C5","1","445-1316-1-ND","0.10","0.1"
"L1","1","490-4025-1-ND","0.14","0.14"
"MCU1","1","ATMEGA328P-AU-ND","3.58","3.58"
"Modular8","1","","",""
"PLANES, TERMINATE","2","RHM0.0GCT-ND","0.10","0.2"
"POW LED, SCK LED","2","475-2512-1-ND","0.09","0.18"
"R1","1","311-10KGRCT-ND","0.10","0.1"
"R2, R3","2","311-680GRCT-ND","0.10","0.2"
"VREF1","1","LT1790BCS6-4.096#TRMPBFCT-ND","3.18","3.18"
"XTAL1","1","XC1775CT-ND","0.53","0.53"
